#TYPE Microsoft.Azure.Management.Compute.Models.ResourceSkuCapabilities
"vmName","Name","Value"
"Standard_A8m_v2","MaxDataDiskCount","16"
"Standard_A8m_v2","CpuArchitectureType","x64"
"Standard_A8m_v2","LowPriorityCapable","True"
"Standard_A8m_v2","PremiumIO","False"
"Standard_A8m_v2","VMDeploymentTypes","IaaS,PaaS"
"Standard_A8m_v2","vCPUsAvailable","8"
"Standard_A8m_v2","ACUs","100"
"Standard_A8m_v2","vCPUsPerCore","1"
"Standard_A8m_v2","CombinedTempDiskAndCachedIOPS","8000"
"Standard_A8m_v2","CombinedTempDiskAndCachedReadBytesPerSecond","167772160"
"Standard_A8m_v2","CombinedTempDiskAndCachedWriteBytesPerSecond","83886080"
"Standard_A8m_v2","EphemeralOSDiskSupported","False"
"Standard_A8m_v2","EncryptionAtHostSupported","False"
"Standard_A8m_v2","CapacityReservationSupported","False"
"Standard_A8m_v2","AcceleratedNetworkingEnabled","False"
"Standard_A8m_v2","RdmaEnabled","False"
"Standard_A8m_v2","MaxNetworkInterfaces","8"
"Standard_A8_v2","MaxResourceVolumeMB","81920"
"Standard_A8_v2","OSVhdSizeMB","1047552"
"Standard_A8_v2","vCPUs","8"
"Standard_A8_v2","MemoryPreservingMaintenanceSupported","True"
"Standard_A8_v2","HyperVGenerations","V1"
"Standard_A8_v2","MemoryGB","16"
"Standard_A8_v2","MaxDataDiskCount","16"
"Standard_A8_v2","CpuArchitectureType","x64"
"Standard_A8_v2","LowPriorityCapable","True"
"Standard_A8_v2","PremiumIO","False"
"Standard_A8_v2","VMDeploymentTypes","IaaS,PaaS"
"Standard_A8_v2","vCPUsAvailable","8"
"Standard_A8_v2","ACUs","100"
"Standard_A8_v2","vCPUsPerCore","1"
"Standard_A8_v2","CombinedTempDiskAndCachedIOPS","8000"
"Standard_A8_v2","CombinedTempDiskAndCachedReadBytesPerSecond","167772160"
"Standard_A8_v2","CombinedTempDiskAndCachedWriteBytesPerSecond","83886080"
"Standard_A8_v2","EphemeralOSDiskSupported","False"
"Standard_A8_v2","EncryptionAtHostSupported","False"
"Standard_A8_v2","CapacityReservationSupported","False"
"Standard_A8_v2","AcceleratedNetworkingEnabled","False"
"Standard_A8_v2","RdmaEnabled","False"
"Standard_A8_v2","MaxNetworkInterfaces","8"
"Standard_B12ms","MaxResourceVolumeMB","98304"
"Standard_B12ms","OSVhdSizeMB","1047552"
"Standard_B12ms","vCPUs","12"
"Standard_B12ms","MemoryPreservingMaintenanceSupported","True"
"Standard_B12ms","HyperVGenerations","V1,V2"
"Standard_B12ms","MemoryGB","48"
"Standard_B12ms","MaxDataDiskCount","16"
"Standard_B12ms","CpuArchitectureType","x64"
"Standard_B12ms","LowPriorityCapable","False"
"Standard_B12ms","PremiumIO","True"
"Standard_B12ms","VMDeploymentTypes","IaaS"
"Standard_B12ms","vCPUsAvailable","12"
"Standard_B12ms","UncachedDiskIOPS","4320"
"Standard_B12ms","EphemeralOSDiskSupported","True"
"Standard_B12ms","EncryptionAtHostSupported","True"
"Standard_B12ms","CapacityReservationSupported","False"
"Standard_B12ms","AcceleratedNetworkingEnabled","True"
"Standard_B12ms","RdmaEnabled","False"
"Standard_B12ms","MaxNetworkInterfaces","6"
"Standard_B16ms","MaxResourceVolumeMB","131072"
"Standard_B16ms","OSVhdSizeMB","1047552"
"Standard_B16ms","vCPUs","16"
"Standard_B16ms","MemoryPreservingMaintenanceSupported","True"
"Standard_B16ms","HyperVGenerations","V1,V2"
"Standard_B16ms","MemoryGB","64"
"Standard_B16ms","MaxDataDiskCount","32"
"Standard_B16ms","CpuArchitectureType","x64"
"Standard_B16ms","LowPriorityCapable","False"
"Standard_B16ms","PremiumIO","True"
"Standard_B16ms","VMDeploymentTypes","IaaS"
"Standard_B16ms","vCPUsAvailable","16"
"Standard_B16ms","CombinedTempDiskAndCachedIOPS","8640"
"Standard_B16ms","CombinedTempDiskAndCachedReadBytesPerSecond","104857600"
"Standard_B16ms","CombinedTempDiskAndCachedWriteBytesPerSecond","104857600"
"Standard_B16ms","UncachedDiskIOPS","4320"
"Standard_B16ms","UncachedDiskBytesPerSecond","52428800"
"Standard_B16ms","EphemeralOSDiskSupported","True"
"Standard_B16ms","EncryptionAtHostSupported","True"
"Standard_B16ms","CapacityReservationSupported","False"
"Standard_B16ms","AcceleratedNetworkingEnabled","True"
"Standard_B16ms","RdmaEnabled","False"
"Standard_B16ms","MaxNetworkInterfaces","8"
"Standard_B1ls","MaxResourceVolumeMB","4096"
"Standard_B1ls","OSVhdSizeMB","1047552"
"Standard_B1ls","vCPUs","1"
"Standard_B1ls","MemoryPreservingMaintenanceSupported","True"
"Standard_B1ls","HyperVGenerations","V1,V2"
"Standard_B1ls","MemoryGB","0.5"
"Standard_B1ls","MaxDataDiskCount","2"
"Standard_B1ls","CpuArchitectureType","x64"
"Standard_B1ls","LowPriorityCapable","False"
"Standard_B1ls","PremiumIO","True"
"Standard_B1ls","VMDeploymentTypes","IaaS"
"Standard_B1ls","CombinedTempDiskAndCachedIOPS","200"
"Standard_B1ls","CombinedTempDiskAndCachedReadBytesPerSecond","10485760"
"Standard_B1ls","CombinedTempDiskAndCachedWriteBytesPerSecond","10485760"
"Standard_B1ls","UncachedDiskIOPS","160"
"Standard_B1ls","UncachedDiskBytesPerSecond","10485760"
"Standard_B1ls","EphemeralOSDiskSupported","True"
"Standard_B1ls","EncryptionAtHostSupported","True"
"Standard_B1ls","CapacityReservationSupported","False"
"Standard_B1ls","AcceleratedNetworkingEnabled","False"
"Standard_B1ls","RdmaEnabled","False"
"Standard_B1ls","MaxNetworkInterfaces","2"
"Standard_B1ms","MaxResourceVolumeMB","4096"
"Standard_B1ms","OSVhdSizeMB","1047552"
"Standard_B1ms","vCPUs","1"
"Standard_B1ms","MemoryPreservingMaintenanceSupported","True"
"Standard_B1ms","HyperVGenerations","V1,V2"
"Standard_B1ms","MemoryGB","2"
"Standard_B1ms","MaxDataDiskCount","2"
"Standard_B1ms","CpuArchitectureType","x64"
"Standard_B1ms","LowPriorityCapable","False"
"Standard_B1ms","PremiumIO","True"
"Standard_B1ms","VMDeploymentTypes","IaaS"
"Standard_B1ms","vCPUsAvailable","1"
"Standard_B1ms","vCPUsPerCore","1"
"Standard_B1ms","CombinedTempDiskAndCachedIOPS","800"
"Standard_B1ms","CombinedTempDiskAndCachedReadBytesPerSecond","10485760"
"Standard_B1ms","CombinedTempDiskAndCachedWriteBytesPerSecond","10485760"
"Standard_B1ms","UncachedDiskIOPS","640"
"Standard_B1ms","UncachedDiskBytesPerSecond","10485760"
"Standard_B1ms","EphemeralOSDiskSupported","True"
"Standard_B1ms","EncryptionAtHostSupported","True"
"Standard_B1ms","CapacityReservationSupported","False"
"Standard_B1ms","AcceleratedNetworkingEnabled","False"
"Standard_B1ms","RdmaEnabled","False"
"Standard_B1ms","MaxNetworkInterfaces","2"
